test_id,guid,test_date,received_date,desktop_device_id,platform,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,isp_name,is_isp,connection_type,location_type,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,postal_code,client_ipv6_address
113949199,"E36BD46486314ACDA5FF0A3038064315","2019-07-01 00:06:25","2019-07-01 00:07:04","7576270","5","175.145.xxx.xxx",8757,414,24,"Kuala Lumpur","Malaysia","MY",3.1357,101.6880,"U Mobile","TM Net","1","22","2","Malaysia","MY","Federal Territory of Kuala Lumpur","14","Kuala Lumpur",3.166,101.700,2.2987,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","Kuala Lumpur","locality","Malaysia","MY","Federal Territory of Kuala Lumpur","","","55100",""
113949200,"A8207DB060864C58ABAA028E089E4571","2019-07-01 00:06:30","2019-07-01 00:07:04","5965187","5","113.65.xxx.xxx",299788,41987,1,"Guangzhou","CN","CN",23.1333,113.2667,"ChinaTelecom-GZ","China Telecom Guangdong","1","22","2","China","CN","Guangdong","GD","Guangzhou",23.116,113.250,1.56439,"Changti Road Shopping Leisure Street, Guangzhou, Guangdong, China, 510000","Changti Road Shopping Leisure Street","neighborhood","China","CN","Guangdong","Guangzhou","","511442",""
113949201,"A88FC688A26B482A9EEEB7B882DE8987","2019-07-01 00:06:35","2019-07-01 00:07:05","7217839","5","190.117.xxx.xxx",35723,10957,30,"Lima","Peru","PE",-12.0975,-77.0139,"VIETTEL PERU S.A.C","Claro Peru","1","22","2","Peru","PE","Ica","ICA","Ica",-14.068,-75.725,161.595,"Ica, Peru","Ica","locality","Peru","PE","Ica","Ica","","11001",""
113949202,"4E7309EAD2C540EB97FEA30B733D77C8","2019-07-01 00:06:29","2019-07-01 00:07:05","7723761","5","103.217.xxx.xxx",3473,58637,3,"Yangon","MM","MM",16.8000,96.1500,"Ananda","WELINK","1","2","2","Republic of the Union of Myanmar","MM","Yangon Region","06","Yangon",16.783,96.166,1.59915,"Yangon, Myanmar (Burma)","Yangon","locality","Myanmar (Burma)","MM","Yangon Region","","","",""
113949203,"518CCE5C0F234DC285103B00EE311C01","2019-07-01 00:06:54","2019-07-01 00:07:05","1237863","4","185.138.xxx.xxx",0,0,12,"Bracknell","United Kingdom","GB",51.4160,-0.7540,"Vodafone UK","UNKNOWN","","2","1","United Kingdom","GB","Buckinghamshire","BKM","Poundon",51.916,-1.050,36.8881,"","","","","","","","","",""
113949204,"026FD378682947BAA41A079E2ADD38D9","2019-07-01 00:06:27","2019-07-01 00:07:05","6316715","5","182.176.xxx.xxx",3537,945,25,"Karachi","Pakistan","PK",24.8600,67.0100,"Ebone Network Pvt. Ltd.","PTCL","1","2","2","Pakistan","PK","Sindh","SD","Karachi",24.866,67.050,2.55282,"Karachi, Pakistan","Karachi","locality","Pakistan","PK","Sindh","Karachi District","","",""
113949205,"BB5A51C81BC142D280637244E0543A9E","2019-07-01 00:07:06","2019-07-01 00:07:06","2313031","4","217.164.xxx.xxx",92912,91461,9,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE","Emirates Telecommunications Corporation","1","2","2","United Arab Emirates","AE","UNKNOWN","??",\N,24.000,54.000,118.985,"United Arab Emirates","United Arab Emirates","country","United Arab Emirates","AE","","","","",""
113949206,"369DF1F4D9F446C1B4FDC51108BF03DF","2019-07-01 00:06:43","2019-07-01 00:07:07","7427609","5","95.245.xxx.xxx",8998,978,23,"Rome","Italy","IT",41.9000,12.5000,"Telecom Italia S.p.A.","Telecom Italia Mobile","1","22","2","Italy","IT","Lazio","62","Rome",41.894,12.483,0.906444,"Rome, Italy","Rome","locality","Italy","IT","Lazio","Metropolitan City of Rome","Rome","00185",""
113949207,"AEE8797F7BD7400889A201F7588AEF4A","2019-07-01 00:07:07","2019-07-01 00:07:07","6568927","4","109.108.xxx.xxx",236011,165896,1,"Trondheim","Norway","NO",63.4305,10.3951,"NTE Marked A/S","Telia Norge As","1","2","1","Norway","NO","Trøndelag","50","Trondheim",63.430,10.395,0,"Trondheim, Norway","Trondheim","locality","Norway","NO","Sor-Trondelag","Trondheim","","7048",""
113949208,"D6CF4D930B6D41F1831CBD39122E2641","2019-07-01 00:06:34","2019-07-01 00:07:07","7723827","5","138.99.xxx.xxx",43991,26987,23,"Curico","Chile","CL",-34.9780,-71.2529,"FullConection","Pacifico Cable","1","2","2","Chile","CL","Maule Region","ML","Curicó",-34.983,-71.233,1.16972,"Curico, Curico, Maule Region, Chile","Curico","locality","Chile","CL","Maule Region","Curicó Province","Curico","",""
