test_id,test_date,client_ip_id,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,user_agent,isp_name,is_isp,connection_type,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code
8380424433,"2019-07-01 00:00:07","2118190466","103.226.xxx.xxx",2078,836,97,"Panchkula","India","IN",30.6942,76.8606,"Esto Broadband","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Speedair webtech pvt.","1","2","India","IN","Uttarakhand","UT","Dehradun",30.316,78.033,74.6061,"Dehradun, Uttarakhand 248001, India","Dehradun","locality","India","IN","Uttarakhand","Dehradun","","248001"
8380424435,"2019-07-01 00:00:07","2068796734","180.242.xxx.xxx",18531,3797,12,"Mataram","Indonesia","ID",-8.5833,116.1167,"PT. Telekomunikasi Indonesia","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:67.0) Gecko/20100101 Firefox/67.0","PT TELKOM INDONESIA","1","4","Indonesia","ID","West Nusa Tenggara","NB","Lekong",-8.534,116.965,58.1691,"Juranalas, Alas, Sumbawa Regency, West Nusa Tenggara, Indonesia","Juranalas","administrative_area_level_4","Indonesia","ID","West Nusa Tenggara","Sumbawa Regency","Alas, Juranalas","84353"
8380424436,"2019-07-01 00:00:07","2150622517","87.140.xxx.xxx",4151,8406,32,"Magdeburg","Germany","DE",52.1333,11.6167,"WebseitenDesigner.com","Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Deutsche Telekom Business","1","2","Germany","DE","Lower Saxony","NI","Goslar",51.900,10.433,52.8978,"Goslar, Germany","Goslar","locality","Germany","DE","Lower Saxony","Goslar","","38640"
8380424438,"2019-07-01 00:00:07","333965618","120.63.xxx.xxx",86220,9306,5,"Mumbai","India","IN",18.9647,72.8258,"Mahanagar Telephone Nigam Ltd","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Mahanagar Telephone Nigam","1","2","India","IN","Maharashtra","MH","Bandra",19.066,72.833,7.07235,"Mumbai, Maharashtra, India","Mumbai","locality","India","IN","Maharashtra","Mumbai","","400051"
8380424439,"2019-07-01 00:00:07","1411820812","185.160.xxx.xxx",92388,96459,7,"Zvolen","Slovakia","SK",48.5762,19.1371,"Detronics s.r.o.","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Filleck s.r.o.","1","2","Slovakia","SK","Banská Bystrica Region","BC","Filakovo",48.266,19.833,38.4662,"986 01 Fiľakovo, Slovakia","Fiľakovo","locality","Slovakia","SK","Banská Bystrica Region","Lučenec District","","986 01"
8380424440,"2019-07-01 00:00:07","1299261703","1.163.xxx.xxx",149632,54798,2,"New Taipei","Taiwan","TW",25.0111,121.4458,"Chunghwa Mobile","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko","HiNet","1","2","Taiwan","TW","Taoyuan City","TAO","Taoyuan District",24.986,121.305,8.947,"Taoyuan, Taoyuan District, Taoyuan City, Taiwan","Taoyuan","locality","Taiwan","TW","Taoyuan City","Taoyuan District","南門里","330"
8380424441,"2019-07-01 00:00:07","361768051","106.68.xxx.xxx",11199,937,9,"Perth","Australia","AU",-31.9554,115.8585,"Vocus Communications","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","iiNet Limited","1","2","Australia","AU","Western Australia","WA","Osborne Park",-31.900,115.810,4.70716,"Osborne Park WA 6017, Australia","Osborne Park","locality","Australia","AU","Western Australia","City of Stirling","","6017"
8380424443,"2019-07-01 00:00:07","2150622522","59.153.xxx.xxx",49926,1646,7,"Pune","India","IN",18.5203,73.8567,"WOW Solutions & Systems Pvt. Ltd","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","United Stars","0","2","India","IN","Maharashtra","MH","Pune",18.533,73.866,1.11309,"Pune, Maharashtra 411001, India","Pune","locality","India","IN","Maharashtra","Pune","","411001"
8380424444,"2019-07-01 00:00:08","1271912348","1.42.xxx.xxx",23945,11501,6,"Sydney","Australia","AU",-33.8600,151.2111,"Tello","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36","Optus","1","2","Australia","AU","New South Wales","NSW","Great Mackerel Beach",-33.596,151.297,18.911,"Ku-Ring-Gai Chase NSW, Australia","Ku-Ring-Gai Chase","locality","Australia","AU","New South Wales","","","2084"
8380424446,"2019-07-01 00:00:08","1708457524","45.243.xxx.xxx",4633,697,130,"Kiev","Ukraine","UA",50.4501,30.5234,"SkyVision Ukraine","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Link Egypt (Link.NET)","1","2","Egypt","EG","Giza Governorate","GZ","Manyal Shihah",29.950,31.233,1418.48,"Abu an Numros, Giza, Giza Governorate, Egypt","Abu an Numros","administrative_area_level_3","Egypt","EG","Giza Governorate","Giza","Abu an Numros",""
8380424448,"2019-07-01 00:00:08","345867450","91.242.xxx.xxx",21147,92096,0,"Baku","Azerbaijan","AZ",40.3952,49.8822,"Bakcell LTD","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3223.0 Safari/537.36","CNC.AZ MMC","0","2","Azerbaijan","AZ","Kurdamir Rayon","KUR","Ismayilli",40.426,48.338,81.3201,"Shamakhi, Azerbaijan","Shamakhi","administrative_area_level_2","Azerbaijan","AZ","Shamakhi","","",""
8380424449,"2019-07-01 00:00:08","1698379081","110.54.xxx.xxx",6459,10012,21,"Quezon City","Philippines","PH",14.6300,121.0300,"Globe Telecom","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Globe Mobile","1","4","Philippines","PH","Metro Manila","00","Amihan",14.627,121.067,2.51613,"Quezon City, Metro Manila, Philippines","Quezon City","locality","Philippines","PH","Metro Manila","","",""
8380424450,"2019-07-01 00:00:08","1247208142","103.43.xxx.xxx",94306,92836,2,"Chennai","India","IN",13.0827,80.2707,"Blue Lotus Support Services Pvt Ltd","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36","Virgo Polymers (India)","0","2","India","IN","Tamil Nadu","TN","Bargur",12.550,78.366,133.6,"Kothur R.F, Tamil Nadu, India","Kothur R.F","locality","India","IN","Tamil Nadu","Vellore","","635854"
8380424451,"2019-07-01 00:00:08","1188083614","106.201.xxx.xxx",1388,386,99,"Bangalore","India","IN",12.9833,77.5833,"Railtel Corporation of india ltd.","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","BHARTI Airtel","1","4","India","IN","Tamil Nadu","TN","Koramangala",12.932,77.622,4.43254,"Bengaluru, Karnataka 560001, India","Bengaluru","locality","India","IN","Karnataka","Bangalore Urban","","560095"
8380424452,"2019-07-01 00:00:08","2150622525","203.128.xxx.xxx",81497,93668,0,"Lahore","Pakistan","PK",31.5758,74.3269,"Brain Telecom","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Brain Computer Services","1","2","Pakistan","PK","Punjab","PB","Basti Gujranwala",31.516,74.307,4.2848,"Lahore, Pakistan","Lahore","locality","Pakistan","PK","Punjab","Lahore District","",""
8380424453,"2019-07-01 00:00:08","1936656084","71.112.xxx.xxx",160877,101713,20,"Akron, OH","United States","US",41.0814,-81.5190,"Sprint","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Verizon FiOS","1","2","United States","US","Pennsylvania","PA","Bethel Park",40.322,-80.035,93.8489,"Bethel Park, PA, USA","Bethel Park","locality","United States","US","Pennsylvania","Allegheny County","","15102"
8380424454,"2019-07-01 00:00:08","463630815","46.114.xxx.xxx",14376,10202,27,"Frankfurt","Germany","DE",50.1109,8.6821,"LeaseWeb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","O2 Deutschland","1","2","Germany","DE","Hesse","HE","Nauheim",49.950,8.463,14.7361,"Nauheim, Germany","Nauheim","locality","Germany","DE","Hesse","Darmstadt","Groß-Gerau","64569"
8380424455,"2019-07-01 00:00:08","185352661","188.19.xxx.xxx",121465,65512,15,"Surgut","Russia","RU",61.2667,73.4000,"Rostelecom","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Rostelecom","1","2","Russia","RU","Khanty-Mansi Autonomous Okrug","KHM","Surgut",61.250,73.416,1.28181,"Surgut, Khanty-Mansi Autonomous Okrug, Russia","Surgut","locality","Russia","RU","Khanty-Mansi Autonomous Okrug","gorod Surgut","","628403"
8380424456,"2019-07-01 00:00:08","2150622527","119.108.xxx.xxx",92836,37713,10,"Shenyang","China","CN",41.7333,123.8833,"ChinaMobile, Liaoning Branch","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134","China Unicom Liaoning","1","2","China","CN","Liaoning","LN","Shenyang",41.792,123.432,23.5978,"Shenyang, Liaoning, China","Shenyang","locality","China","CN","Liaoning","","",""
8380424457,"2019-07-01 00:00:08","374736530","182.50.xxx.xxx",8420,13737,55,"Seoul","South Korea","KR",37.5833,127.0000,"kdatacenter.com","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Cross On Net","0","2","South Korea","KR","Unknown","??",\N,37.511,126.974,5.18564,"South Korea","South Korea","country","South Korea","KR","","","",""
8380424458,"2019-07-01 00:00:08","1428067309","188.170.xxx.xxx",37146,38419,31,"Moscow","Russian Federation","RU",55.7517,37.6178,"Megafon","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 YaBrowser/19.6.2.503 Yowser/2.5 Safari/537.36","PJSC MegaFon","1","4","Russia","RU","Moscow","MOW","Moscow",55.752,37.615,0.0923921,"Moscow, Russia","Moscow","locality","Russia","RU","Moscow","gorod Moskva","","109012"
8380424461,"2019-07-01 00:00:08","339384508","5.70.xxx.xxx",22769,17377,18,"London","United Kingdom","GB",51.5171,-0.1062,"Structured Communications","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Be Un Limited","1","2","United Kingdom","GB","East Sussex","ESX","Lewes",50.866,-0.016,45.1555,"Lewes BN7, UK","Kingston Near Lewes","administrative_area_level_4","United Kingdom","GB","England","East Sussex","Lewes District, Kingston Near Lewes","BN7"
8380424462,"2019-07-01 00:00:08","2150423261","180.243.xxx.xxx",9930,6231,30,"Makassar","Indonesia","ID",-5.1333,119.4167,"PT. Telekomunikasi Indonesia","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","PT TELKOM INDONESIA","1","2","Indonesia","ID","South Sulawesi","SN","Makassar",-5.140,119.422,0.594029,"Makassar, Makassar City, South Sulawesi, Indonesia","Makassar","locality","Indonesia","ID","South Sulawesi","Makassar City","","90231"
